Country,Population,Land Area,Density,PopTot
Afghanistan,38.928346,652860,60,38928346
Albania,2.877797,27400,105,2877797
Algeria,43.851044,2381740,18,43851044
American Samoa,0.055191,200,276,55191
Andorra,0.077265,470,164,77265
Angola,32.866272,1246700,26,32866272
Anguilla,0.015003,90,167,15003
Antigua and Barbuda,0.097929,440,223,97929
Argentina,45.195774,2736690,17,45195774
Armenia,2.963243,28470,104,2963243
Aruba,0.106766,180,593,106766
Australia,25.499884,7682300,3,25499884
Austria,9.006398,82409,109,9006398
Azerbaijan,10.139177,82658,123,10139177
Bahamas,0.393244,10010,39,393244
Bahrain,1.701575,760,2239,1701575
Bangladesh,164.689383,130170,1265,164689383
Barbados,0.287375,430,668,287375
Belarus,9.449323,202910,47,9449323
Belgium,11.589623,30280,383,11589623
Belize,0.397628,22810,17,397628
Benin,12.1232,112760,108,12123200
Bermuda,0.062278,50,1246,62278
Bhutan,0.771608,38117,20,771608
Bolivia,11.673021,1083300,11,11673021
Bosnia and Herzegovina,3.280819,51000,64,3280819
Botswana,2.351627,566730,4,2351627
Brazil,212.559417,8358140,25,212559417
British Virgin Islands,0.030231,150,202,30231
Brunei,0.437479,5270,83,437479
Bulgaria,6.948445,108560,64,6948445
Burkina Faso,20.903273,273600,76,20903273
Burundi,11.890784,25680,463,11890784
Cabo Verde,0.555987,4030,138,555987
Cambodia,16.718965,176520,95,16718965
Cameroon,26.545863,472710,56,26545863
Canada,37.742154,9093510,4,37742154
Caribbean Netherlands,0.026223,328,80,26223
Cayman Islands,0.065722,240,274,65722
Central African Republic,4.829767,622980,8,4829767
Chad,16.425864,1259200,13,16425864
Channel Islands,0.173863,190,915,173863
Chile,19.116201,743532,26,19116201
China,1439.323776,9388211,153,1439323776
Colombia,50.882891,1109500,46,50882891
Comoros,0.869601,1861,467,869601
Congo,5.518087,341500,16,5518087
Cook Islands,0.017564,240,73,17564
Costa Rica,5.094118,51060,100,5094118
Croatia,4.105267,55960,73,4105267
Cuba,11.326616,106440,106,11326616
Curaçao,0.164093,444,370,164093
Cyprus,1.207359,9240,131,1207359
Czech Republic (Czechia),10.708981,77240,139,10708981
Cote d'Ivoire,26.378274,318000,83,26378274
Denmark,5.792202,42430,137,5792202
Djibouti,0.988,23180,43,988000
Dominica,0.071986,750,96,71986
Dominican Republic,10.84791,48320,225,10847910
DR Congo,89.561403,2267050,40,89561403
Ecuador,17.643054,248360,71,17643054
Egypt,102.334404,995450,103,102334404
El Salvador,6.486205,20720,313,6486205
Equatorial Guinea,1.402985,28050,50,1402985
Eritrea,3.546421,101000,35,3546421
Estonia,1.326535,42390,31,1326535
Eswatini,1.160164,17200,67,1160164
Ethiopia,114.963588,1000000,115,114963588
Faeroe Islands,0.048863,1396,35,48863
Falkland Islands,0.00348,12170,0,3480
Fiji,0.896445,18270,49,896445
Finland,5.54072,303890,18,5540720
France,65.273511,547557,119,65273511
French Guiana,0.298682,82200,4,298682
French Polynesia,0.280908,3660,77,280908
Gabon,2.225734,257670,9,2225734
Gambia,2.416668,10120,239,2416668
Georgia,3.989167,69490,57,3989167
Germany,83.783942,348560,240,83783942
Ghana,31.07294,227540,137,31072940
Gibraltar,0.033691,10,3369,33691
Greece,10.423054,128900,81,10423054
Greenland,0.05677,410450,0,56770
Grenada,0.112523,340,331,112523
Guadeloupe,0.400124,1690,237,400124
Guam,0.168775,540,313,168775
Guatemala,17.915568,107160,167,17915568
Guinea,13.132795,245720,53,13132795
Guinea-Bissau,1.968001,28120,70,1968001
Guyana,0.786552,196850,4,786552
Haiti,11.402528,27560,414,11402528
Holy See,0.000801,0,2003,801
Honduras,9.904607,111890,89,9904607
Hong Kong,7.496981,1050,7140,7496981
Hungary,9.660351,90530,107,9660351
Iceland,0.341243,100250,3,341243
India,1380.004385,2973190,464,1380004385
Indonesia,273.523615,1811570,151,273523615
Iran,83.992949,1628550,52,83992949
Iraq,40.222493,434320,93,40222493
Ireland,4.937786,68890,72,4937786
Isle of Man,0.085033,570,149,85033
Israel,8.655535,21640,400,8655535
Italy,60.461826,294140,206,60461826
Jamaica,2.961167,10830,273,2961167
Japan,126.476461,364555,347,126476461
Jordan,10.203134,88780,115,10203134
Kazakhstan,18.776707,2699700,7,18776707
Kenya,53.771296,569140,94,53771296
Kiribati,0.119449,810,147,119449
Kuwait,4.270571,17820,240,4270571
Kyrgyzstan,6.524195,191800,34,6524195
Laos,7.27556,230800,32,7275560
Latvia,1.886198,62200,30,1886198
Lebanon,6.825445,10230,667,6825445
Lesotho,2.142249,30360,71,2142249
Liberia,5.057681,96320,53,5057681
Libya,6.871292,1759540,4,6871292
Liechtenstein,0.038128,160,238,38128
Lithuania,2.722289,62674,43,2722289
Luxembourg,0.625978,2590,242,625978
Macao,0.649335,30,21645,649335
Madagascar,27.691018,581795,48,27691018
Malawi,19.129952,94280,203,19129952
Malaysia,32.365999,328550,99,32365999
Maldives,0.540544,300,1802,540544
Mali,20.250833,1220190,17,20250833
Malta,0.441543,320,1380,441543
Marshall Islands,0.05919,180,329,59190
Martinique,0.375265,1060,354,375265
Mauritania,4.649658,1030700,5,4649658
Mauritius,1.271768,2030,626,1271768
Mayotte,0.272815,375,728,272815
Mexico,128.932753,1943950,66,128932753
Micronesia,0.115023,700,164,115023
Moldova,4.033963,32850,123,4033963
Monaco,0.039242,1,26337,39242
Mongolia,3.27829,1553560,2,3278290
Montenegro,0.628066,13450,47,628066
Montserrat,0.004992,100,50,4992
Morocco,36.91056,446300,83,36910560
Mozambique,31.255435,786380,40,31255435
Myanmar,54.4098,653290,83,54409800
Namibia,2.540905,823290,3,2540905
Nauru,0.010824,20,541,10824
Nepal,29.136808,143350,203,29136808
Netherlands,17.134872,33720,508,17134872
New Caledonia,0.285498,18280,16,285498
New Zealand,4.822233,263310,18,4822233
Nicaragua,6.624554,120340,55,6624554
Niger,24.206644,1266700,19,24206644
Nigeria,206.139589,910770,226,206139589
Niue,0.001626,260,6,1626
North Korea,25.778816,120410,214,25778816
North Macedonia,2.083374,25220,83,2083374
Northern Mariana Islands,0.057559,460,125,57559
Norway,5.421241,365268,15,5421241
Oman,5.106626,309500,16,5106626
Pakistan,220.89234,770880,287,220892340
Palau,0.018094,460,39,18094
Panama,4.314767,74340,58,4314767
Papua New Guinea,8.947024,452860,20,8947024
Paraguay,7.132538,397300,18,7132538
Peru,32.971854,1280000,26,32971854
Philippines,109.581078,298170,368,109581078
Poland,37.846611,306230,124,37846611
Portugal,10.196709,91590,111,10196709
Puerto Rico,2.860853,8870,323,2860853
Qatar,2.881053,11610,248,2881053
Romania,19.237691,230170,84,19237691
Russia,145.934462,16376870,9,145934462
Rwanda,12.952218,24670,525,12952218
Réunion,0.895312,2500,358,895312
Saint Barthelemy,0.009877,21,470,9877
Saint Helena,0.006077,390,16,6077
Saint Kitts & Nevis,0.053199,260,205,53199
Saint Lucia,0.183627,610,301,183627
Saint Martin,0.038666,53,730,38666
Saint Pierre & Miquelon,0.005794,230,25,5794
Samoa,0.198414,2830,70,198414
San Marino,0.033931,60,566,33931
Sao Tome & Principe,0.219159,960,228,219159
Saudi Arabia,34.813871,2149690,16,34813871
Senegal,16.743927,192530,87,16743927
Serbia,8.737371,87460,100,8737371
Seychelles,0.098347,460,214,98347
Sierra Leone,7.976983,72180,111,7976983
Singapore,5.850342,700,8358,5850342
Sint Maarten,0.042876,34,1261,42876
Slovakia,5.459642,48088,114,5459642
Slovenia,2.078938,20140,103,2078938
Solomon Islands,0.686884,27990,25,686884
Somalia,15.893222,627340,25,15893222
South Africa,59.30869,1213090,49,59308690
South Korea,51.269185,97230,527,51269185
South Sudan,11.193725,610952,18,11193725
Spain,46.754778,498800,94,46754778
Sri Lanka,21.413249,62710,341,21413249
St. Vincent & Grenadines,0.11094,390,284,110940
State of Palestine,5.101414,6020,847,5101414
Sudan,43.84926,1765048,25,43849260
Suriname,0.586632,156000,4,586632
Sweden,10.099265,410340,25,10099265
Switzerland,8.654622,39516,219,8654622
Syria,17.500658,183630,95,17500658
Taiwan,23.816775,35410,673,23816775
Tajikistan,9.537645,139960,68,9537645
Tanzania,59.734218,885800,67,59734218
Thailand,69.799978,510890,137,69799978
Timor-Leste,1.318445,14870,89,1318445
Togo,8.278724,54390,152,8278724
Tokelau,0.001357,10,136,1357
Tonga,0.105695,720,147,105695
Trinidad and Tobago,1.399488,5130,273,1399488
Tunisia,11.818619,155360,76,11818619
Turkey,84.339067,769630,110,84339067
Turkmenistan,6.0312,469930,13,6031200
Turks and Caicos,0.038717,950,41,38717
Tuvalu,0.011792,30,393,11792
U.S. Virgin Islands,0.104425,350,298,104425
Uganda,45.741007,199810,229,45741007
Ukraine,43.733762,579320,75,43733762
United Arab Emirates,9.890402,83600,118,9890402
United Kingdom,67.886011,241930,281,67886011
United States,331.002651,9147420,36,331002651
Uruguay,3.47373,175020,20,3473730
Uzbekistan,33.469203,425400,79,33469203
Vanuatu,0.307145,12190,25,307145
Venezuela,28.43594,882050,32,28435940
Vietnam,97.338579,310070,314,97338579
Wallis & Futuna,0.011239,140,80,11239
Western Sahara,0.597339,266000,2,597339
Yemen,29.825964,527970,56,29825964
Zambia,18.383955,743390,25,18383955
Zimbabwe,14.862924,386850,38,14862924
